Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
DAI ,OXYGEN,CL 300 RF,600 PSIG,500F,"0.0625""",CARBON STEEL/ MONEL,CL 3000 SW,MONEL,MONEL,KLINGER-TOP CHEM 2000,B7 STUD,S-01, ,,2008-4-22,"A.  ALL VALVES, GASKETS, AND OTHER NON-WELDED COMPONENTS SHALL BE ORDERED AS ""PREPARED FOR OXYGEN SERVICE"".  THIS NORMALLY INCLUDES CHEMICAL CLEANING AND SPECIAL PACKAGING.  VALVE PACKING SHALL BE TEFLON.  B.  FLUID VELOCITY SHALL BE LIMITED TO 200 FEET PER SECOND.  HIGHER VELOCITIES REQUIRE MONEL PIPING.  C.  THE INSTALLED PIPING SYSTEM SHALL BE MECHANICALLY AND CHEMICALLY CLEANED TO REMOVE CONTAMINANTS SUCH AS OIL, GREASE, LUBRICANTS, PAINTS, ETC., AND PARTICULATES SUCH AS WELD SLAG AND METAL CHIPS FROM MACHINING AND CUTTING OPERATIONS. REFER TO SOA-2100-04 FOR SYSTEM CLEANING PROCEDURE. REFER TO ""MAINT. NOTE"" SECTION  FOR FIELD CLEANING PROCEDURE FOR USE ONLY ON INDIVIDUAL ITEMS IN ABNORMAL SITUATIONS WHEN COMMERCIALLY CLEANED ITEMS ARE NOT AVAILABLE.  D.  FILTERS MADE OF MONEL SHALL BE INSTALLED UPSTREAM OF PRESSURE REDUCING REGULATORS AND CONTROL VALVES TO CATCH PARTICULATES.  E.  USE TEFLON TAPE FOR THREADED JOINTS.  DO NOT USE THREAD COMPOUND.  F.  FOR TEMPERATURES BELOW -20F, USE MONEL PIPING. BOLTING SHALL BE 304SS STUD BOLTS, ASTM A320 GRADE 8 WITH ASTM 194 GRADE 8 NUTS. ","CHEMICAL CLEANING PROCEDURE FOR CARBON STEEL AND LOW ALLOY VALVES TO 9CR  1. DISASSEMBLE AND INSPECT THE VALVE INITIALLY SO THAT IT CAN BE DIPPED AND ALL OF THE CLEANING SOLUTIONS REMOVED ENTIRELY, ALSO ANY VISIBLE DIRT/ GREASE SHOULD BE SWABBED OUT WITH A CLEANING RAG AT THIS TIME.  2. PLACE THE VALVE PIECES IN THE CLEANING CABINET IN THE MACHINE SHOP FOR DEGREASING ITEMS. THEY SHOULD BE CYCLED THROUGH THE CLEANING MACHINE WITH A SOAP OR DETERGENT ADDED. AT THE END OF THE CYCLE, THE VALVE SHOULD BE CLEAN SO THAT THERE IS NO RESIDUE OF ANY OIL WHEN USING WHITE LIGHT ILLUMINATION AND WITHOUT MAGNIFICATION WITH 20/20 VISION. IF THE VALVE IS NOT SUFFICIENTLY CLEAN, REPEAT THE CYCLE. AFTER THE SOAP CYCLE, RINSE ALL PARTS WITH CLEAN HOT WATER OR AS HOT CONDENSATE AND THEN QUICKLY DRY WITH AIR THAT HAS NO OIL ADDITION SUCH AS BREATHING AIR OR NITROGEN. ANY TRACES OF OIL RESIDUE THAT ARE NOT REMOVABLE THIS WAY NEED TO BE REMOVED WITH A PRODUCT SUCH AS CRC ELECTRAKLEEN. MAKE CERTAIN THE ARTICLE IS DRY AND IT SHOULD BE READY TO INSTALL. IF THERE IS RUST PROCEED TO STEP 3.  3. A SOLUTION OF EITHER 10 VOL % HYDROCHLORIC ACID OR 10 WT% CITRIC ACID SHALL BE MADE UP (1 GALLON ACID TO 9 GALLONS OF WATER FOR THE HCL OR 10 POUNDS OF CITRIC ACID TO 90 POUNDS OF WATER). ALSO, PREPARE INHIBITOR SOLUTION CONSISTING OF 1/2 PINT OF RODINE 95 TO THE APPROX 10 GALLONS OF SOLUTION. THE SOLUTION NEEDS TO BE MADE UP WITH 140F WATER IF HCL IS USED OR 170F WATER IF CITRIC ACID IS USED. USE A PLASTIC CONTAINER THAT IS SUFFICIENTLY STRONG AND ABLE TO MIX AND HANDLE THESE SOLUTIONS, SUCH AS A PLASTIC BARREL OF HIGH DENSITY POLYETHYLENE.  4. SOAK THE VALVE IN THE SOLUTION FOR 2-3 HOURS, REMOVE AND RINSE OFF TO CHECK FOR CLEAN. IF IT IS NOT CLEAN, MAKE NEW SOLUTION AND RESOAK. WHEN FINALLY CLEAN, PROCEED TO NEUTRALIZATION STEP 5.  5. USE ANOTHER CONTAINER TO PUT IN 100 POUNDS OR 10 GALLONS OF 160F WATER AND ADD 1-1.5 POUNDS OF SODA ASH, MIX THIS SOLUTION AND THEN SOAK THE VALVE IN THIS FOR ABOUT A HALF HOUR. REMOVE AND RINSE WITH CONDENSATE OR HOT WATER, THEN DRY WITH CLEAN BREATHING AIR AND PLACE THE VALVE IN A BAG WITH DESSICANT OR DRY PLACE SO NO FLASH RUST OCCURS UNTIL USE. "
DAJ ,"FIRE SUPPRESSION: HALON, LOW PRESSURE CO2",CL 300 RF,ASME B16.5,150F,"0.0625""",CARBON STEEL,CL 2000 SCREWED,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2008-1-12,,
DAP ,"BOILER EXTERNAL  PIPING (ASME B31.1): STEAM, CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,CMG,B7 STUD,S-01, ,,2008-1-12,FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.,
DAQ ,HYDROCARBONS (LOW TEMP.),CL 300 RF,ASME B16.5,-21F TO -50F,"0.0625""",LOW TEMP. CARBON STEEL,CL 3000 SW,LOW TEMP. CARB. STEEL/316SS/316LSS,316 SS,CMG,L7 STUD,S-04, ,,2008-1-12,,
DAW3,LEAN  &  SEMI-LEAN CATACARB,CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STEL,CMG,B7 STUD,S-01,PWHT FOR SERVICE,,2008-1-12,"A. ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  B. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  D.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH LONG PATTERN BALL VALVES (V03814) OR ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03706.  B. USE V03801 TO REPLACE IN KIND EXISTING NELES-JAMESBURY BALL VALVES WITH THE PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (NON-STANDARD)."
DAX ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03711."
DC  ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,850F(GOVERNED BY API941-NELSON CURVE),"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-04 (see comment #3),(1) PWHT FOR MATERIAL. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE. (3) USE S-10 IF SPECIFIED ON P&ID FOR DC & DCA LINE CLASSES.,,2008-1-12,A.  ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.  B.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB,
DCB ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50  PSIA OR GREATER),CL 300 RJ,ASME B16.5,1025F(GOVERNED BY API941-NELSON CURVE),"0.0625""",1-1/4CR - 1/2 MO,BW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,5 CR - 1/2 MO OVAL RING,B16 STUD,S-04 (see comment #2),(1) PWHT FOR MATERIAL. (2) USE S-11 IF SPECIFIED ON P&ID.,,2008-1-12,A.  ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.  B.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB,
DCD ,HYDROCARBONS: CYCLIC PORTION OF COKE DRUM PIPING,CL 300 RJ,ASME B16.5,850F,"0.125""",1-1/4 CR - 1/2 MO,BW,1-1/4 CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
DCE ,HOT AIR,CL 300 RF (125-250 AARH),55 PSIG,1100F,"0.0625""",1-1/4CR - 1/2 MO,CL 3000 SW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,SPIRAL WOUND 316SS,B16 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
DCX ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,850F(GOVERNED BY API941-NELSON CURVE),"0.125""",1-1/4CR - 1/2 MO,CL 3000/ 6000 SW,1-1/4 CR - 1/2 MO,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) PWHT FOR MATERIAL. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED  JOINTS ARE EXCLUDED.,
DE  ,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,850F,"0.125""",5CR - 1/2 MO,CL 3000/ 6000,5 CR - 1/2 MO,12 CR/ STEL,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) PWHT FOR MATERIAL. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
DEA ,HC VAPORS: CYCLIC PORTION OF COKE  DRUM OVERHEAD LINE,CL 300 RJ,ASME B16.5,850F,"0.125""",5CR - 1/2 MO,CL 3000/ 6000,5 CR - 1/2 MO,12 CR/ STEL,5 CR - 1/2 MO OVAL RING,B7 STUD,S-04,PWHT FOR MATERIAL,,2008-1-12,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR REPLACEMENT OF EXISTING WEDGE PLUG VALVES, USE V-NUMBER V03811."
DFV ,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,850F,"0.125""",9CR - 1 MO,CL 3000/ 6000,9 CR - 1 MO,12 CR/ STEL,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) PWHT FOR MATERIAL. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,ALL PRESSURE CONTAINING WELDS ( SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,
DH  ,"LUBE OIL, SEAL OIL",CL 300 RF,ASME B16.5,500F,NONE,304SS,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-04,FLEX HOSE,,2008-1-12,"WELDED JOINTS DOWNSTREAM OF OIL FILTERS SHALL BE BUTTWELD RATHER THAN SOCKETWELD, EXCEPT VALVES. THE ROOT PASS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.","EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V03530."
DJ  ,"WET C02, RICH C02 CONDENSATE, RICH CATACARB SOLUTION",CL 300 RF,ASME B16.5,500F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STEL,CMG,B7 STUD,S-04, ,,2008-1-12,"A.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",
DJA ,HYDROCARBONS (LOW TEMP.: -150F TO 300F),CL 300 RF,ASME B16.5,-150F TO 300F,NONE,304LSS,CL 3000 SW,316SS/316LSS,316SS/ STELL.,SPIRAL WOUND,"B8, CLASS 1 STUD",S-04, ,,2008-9-19,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  B. WELD METAL DEPOSITS SHALL BE CHARPY IMPACT TESTED IN ACCORDANCE WITH ASME B31.3.",
DJB ,H2 OR H2HC MIXTURES WITH WET CO2(H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250 AARH),ASME B16.5,750F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STEL,CMG / SPIRAL WOUND,B7 STUD,S-04,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,,
DJB2,LIGHT HYDROCARBONS,CL 300 RF,ASME B16.5,-130F TO 650F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STEL,SPIRAL WOUND,L7 STUD,S-04, ,,2008-1-12,,
DLA ,"HGO (HEAVY GAS OIL), ATMOSPHERIC CRUDE, RESID",CL 300 RF,ASME B16.5,750F MAX.,"0.0313""",316L SS,CL 3000 SW,316SS,316SS/ STELL.,SPIRAL WOUND,B7 STUD,S-04, ,,2008-1-12,"GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
DQ  ,"HOT GASES AND AIR, CATALYST",CL 300 RF (125 - 250 AARH) SS TYPE 321,55 PSIG,TO 1425F,"0.0625""",321H SS,CL 3000 SW,347SS/321H SS,321SS/ STELL.,SPIRAL WOUND 321 SS,B8 STUD,S-04,PWHT FOR SERVICE,,2008-1-12,"A. DRAIN AND LOW POINT PIPING MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET, AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL. THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  PIPE: SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED, PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII DIV. 1 LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.  1/2"" - 1-1/2"" SCHEDULE 80S 2"" & LARGER CALC WALL THICKNESS  FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165.  1/2"" - 1-1/2"" SOCKETWELD, SCHEDULE 80S BORE 2"" & LARGER WELD NECK, BORE TO MATCH PIPE  WELDOLET/SOCKOLET:  FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165.  B. POSTWELD HEAT TREATMENT POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES NEED NOT BE POSTWELD HEAT TREATED. ",
DSP ,CORROSIVE WATER,CL 300 RF,360 PSIG,225F,NONE,CARBON STEEL LINED,CL 6000 SCREWED,CARBON STEEL,12 CR/ STELL.,NEOPRENE RUBBER,B7 STUD,S-04, ,,2008-1-12,"A. ALL LINED PIPE AND FITTINGS LINED BY THE MANUFACTURER SHALL BE IDENTIFIED WITH PERMANENTLY AFFIXED ""BLACK"" NYLON BAND.  B. GASKETS ARE REQUIRED ONLY WHEN MATING PIPE OR FITTINGS AGAINST UNLINED FLANGE FACINGS.   C. USE SPACERS FOR MAKE-UP CONNECTION BETWEEN LINED PIPE AND ALL OTHER TYPES OF FLANGED PIPING AND EQUIPMENT.",
DX  ,SULFURIC ACID LESS THAN 90% CONCENTRATION,CL 300 RF,ASME B16.5,300F,"0.050""",ALLOY 20,CL 3000 SW,ALLOY 20,ALLOY 20,KLINGER-TOP CHEM 2000,B7 STUD,S-03, ,,2008-1-12,THE ROOT PASS FOR BUTTWELDS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.,
FA  ,HYDROCARBON LIQUID & VAPOR,CL 600 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06710."
FAB ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50  PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,(GOVERNED BY API941-NELSON CURVE),"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL  WOUND,B7 STUD,S-01, ,,2009-2-10,"GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVE IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","EXISTING PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06711."
FAB1,HYDROGEN,CL 600 RF,ASME B16.5,150F MAX.,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-1-12,"GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
FAC ,H2  OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RF (125-250 AARH),ASME B16.5,750F(GOVERNED BY API941-NELSON CURVE),"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-1-12,"A. EXISTING PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06711.  B. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.",
FAC2,"RICH AMINE (MEA, DEA, MDEA)",CL 600 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SPIRAL WOUND,B7 STUD,S-01,(1) NACE REQUIRED. (2) PWHT FOR SERVICE.,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH GRADE 2H NUTS.  C. ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED.  D. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  E.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",
FACN,"WET SOUR GAS, SOUR H2O,  ACID GAS",CL 600 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SPIRAL WOUND,B7 STUD,S-01,NACE REQUIRED,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH GRADE 2H NUTS.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.",
FAD ,HYDROCARBON LIQUID & VAPOR,CL 600 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SPIRAL WOUND,B7 STUD,S-01, ,,2008-1-12,"GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.","EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V06710."
